Year,Round,RaceName,Driver,Team,SprintPosition,SprintGrid,SprintPoints,Status,Laps,Finished,ShootoutPosition,SprintAvgLapTime,MainQualiTime,SprintPaceDelta,Driver_encoded,Team_encoded,Circuit_encoded,Driver_Sprint_Avg_Last3,Team_Sprint_Avg_Last3,MainRace_Avg_Last5,Team_Championship_Points
2022,21,São Paulo Grand Prix,VER,Red Bull Racing,4.0,2.0,5.0,Finished,24.0,1,4.0,75.78569565217393,71.877,-0.0039333696767908,33,14,26,1.3333333333333333,3.0,2.4,790.0
2022,21,São Paulo Grand Prix,PER,Red Bull Racing,5.0,9.0,4.0,Finished,24.0,1,5.0,75.68904347826087,75.601,-0.0566622598626513,24,14,26,4.0,3.3333333333333335,14.8,790.0
2022,21,São Paulo Grand Prix,LEC,Ferrari,6.0,10.0,3.0,Finished,24.0,1,6.0,75.69730434782608,,0.0,17,7,26,3.6666666666666665,2.3333333333333335,7.6,595.0
2022,21,São Paulo Grand Prix,NOR,McLaren,7.0,4.0,2.0,Finished,24.0,1,7.0,76.37804347826086,72.263,-0.0015345334060773,22,10,26,7.333333333333333,9.666666666666666,6.4,775.0
2022,21,São Paulo Grand Prix,MAG,Haas F1 Team,8.0,1.0,1.0,Finished,24.0,1,8.0,76.60252173913044,71.674,0.0095363739271179,19,8,26,7.5,8.666666666666666,11.0,73.0
2022,21,São Paulo Grand Prix,VET,Aston Martin,9.0,13.0,0.0,Finished,24.0,1,9.0,76.38878260869565,,0.0,34,4,26,14.0,15.666666666666666,9.8,266.0
2022,21,São Paulo Grand Prix,GAS,AlphaTauri,10.0,12.0,0.0,Finished,24.0,1,10.0,76.58765217391304,,0.0,9,2,26,13.333333333333334,16.333333333333332,13.6,142.0
2022,21,São Paulo Grand Prix,RIC,McLaren,11.0,14.0,0.0,Finished,24.0,1,11.0,76.78460869565218,,0.0,27,10,26,9.666666666666666,10.0,13.2,775.0
2022,21,São Paulo Grand Prix,MSC,Haas F1 Team,12.0,20.0,0.0,Finished,24.0,1,12.0,76.81404347826087,,0.0,21,8,26,12.666666666666666,8.0,15.4,73.0
2022,21,São Paulo Grand Prix,ZHO,Alfa Romeo,13.0,17.0,0.0,Finished,24.0,1,13.0,76.79039130434784,,0.0,35,0,26,17.0,14.666666666666666,12.8,53.0
